customer_code,station_name,city,district,division,province,location,lat,lng,total_dus
102805,REHMANIA PET SERVICE,BAHAWALPUR,BAHAWALPUR,BWP,PUNJAB,KM-828/829 KNANKASHRIFN/H WAY BHAWALPUR,29.30124,71.52765,3
103176,ALI MOTORS FILL STN,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM614/615 N.H.WAYGOTHAALOO KOT SABZALRAHIMYAR KHAN,28.22767,69.91998,3
115389,AZEEM P/S,RAHIM YAR KHAN,BAHAWALPUR,BWP,PUNJAB,KM 16-17 OF SADIQ ABAD MANTHAR AT CHAK NO.143/P TEHSIL & DIST RAHIM YAR KHAN,28.19328,70.22414,3
119352,CHAUDHARY BROS FILLING STATION,SADIQABAD,RAHIM YAR KHAN,BWP,PUNJAB,BY PASS ROAD SADIQABAD RAHIM YAR KHAN,28.31142,70.09721,5
116085,ALI SHAN F/S,RAHIM YAR KHAN,RAHIM YAR KHAN,BWP,PUNJAB,SADIQABAD CITY RAHIM YAR KHAN,28.31085,70.12611,3
102369,HASSAN PETROLEUM,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,MOUZA FATEH PUR KAMALRAHIMYAR KHAN,28.86236,70.60881,4
117724,QUICKWAYS TRUCKING STN,RAHIMYARKHAN II,BAHAWALPUR,BWP,PUNJAB,"NATIONAL HIGHWAY, ZAFFAR ABAD TEHSIL LIAQUAT PUR RAHIM YAR KHAN",28.89646,70.66274,5
116470,AL MUNEER P/S,KHANPUR,RAHIM YAR KHAN,BWP,PUNJAB,KATCHI JAMALKHANPURDIST RAHIMYAR KHAN,28.65121,70.68891,4
102401,BILAL TRUCKING STN,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,MAZA PHULLO LOLAIKHANPUR R Y KHAN,28.7287,70.454,4
102456,ALSADIQ FILL STATION,RAHIMYARKHAN II,RAHIM YAR KHAN,BWP,PUNJAB,KM-96-97 SHAHI ROADMOUZA CHAUDHARY L.PURRAHIMYARKH,28.947559,70.943873,5
